affiliation,result
"Ulsan National Institute of Science and Technology Ulsan, South Korea","South Korea, Ulsan, 본관 다리, Ulsan National Institute of Science and Technology(UNIST), 44936"
"Korea Institute of Science and Technology Seoul, South Korea","South Korea, Seoul, Wolgok 2(i)-dong, Hwarang-ro, Korea Institute of Science and Technology, 02753"
"Pohang University of Science and Technology Pohang, South Korea","South Korea, North Gyeongsang, Pohang-si, Hyogok-dong, Cheongam-ro 77, Pohang University of Science and Technology, 37673"
"Pohang University of Science and Technology (POSTECH) Pohang, Nam-gu, South Korea","South Korea, North Gyeongsang, Pohang-si, Hyogok-dong, Cheongam-ro 77, Pohang University of Science and Technology, 37673"
"Cyberdigm Co., Seoul, South Korea","Seoul, South Korea"
"Howard University Washington, DC, USA","Howard University, 2400 6th Street Northwest, Washington, DC 20059, United States of America"
"Howard University Data Science and Cybersecurity Center (DSC2), Washington, DC, USA","Washington, District of Columbia, United States of America"
"Data Science and Cybersecurity Center (DSC2) Howard University, Washington, DC, USA","Washington, District of Columbia, United States of America"
"Wuhan University of Technology, Wuhan, China","430063 China, Hubei, Wuchang District, 杨园街道, 和平大道 1178, Wuhan University of Technology"
"Chongqing University Yong chuan, Chongqing, China","Chongqing Shi, China"
"George Mason University Fairfax, VA, USA","George Mason University, 4400 University Drive, George Mason, Fairfax County, VA 22030, United States of America"
"University of California Davis, Davis, California, USA","University of California, Davis, 1 Chiles Road, Davis, CA 95616, United States of America"
"Jiangsu University of Science and Technology Zhenjiang, China","212000 China, Jiangsu, Runzhou District, Baotalu, 运河路, Jiangsu University of Science and Technology"
"Electronics and Telecommunication Research Institute, Daejeon, Korea","Daejeon, South Korea"
"Chungnam National University Daejeon, Republic of Korea","South Korea, Daejeon, Oncheon 2(i)-dong, Yuseong-daero 877beon-gil, Chungnam National University, 34127"
"ETRI(Electronics and Telecommunications Research Institute) Daejeon, Republic of Korea","Daejeon, South Korea"
"Smart Data Research Group ETRI, Daejeon, South Korea","Daejeon, South Korea"
"Southwest Petroleum University Network and Information Centre, Sichuan Chengdu, China","Chengdu, Sichuan Sheng, China"
"University of Oslo Oslo, Norway","University of Oslo, Veslefrikkveien, 0851 Oslo, Norway"
"University of Oslo, Norway","University of Oslo, Veslefrikkveien, 0851 Oslo, Norway"
"Faculty of Computer Science and Electrical Engineering, Kiel University of Applied Science, Germany","Faculty of Computer Science and Electrical Engineering, Kiel University of Applied Science, Germany"
"University of Technology, Sydney, Australia","University of Technology Sydney, The Goods Line, Haymarket NSW 2000, Australia"
"University of Technology Sydney, Australia","University of Technology Sydney, The Goods Line, Haymarket NSW 2000, Australia"
"Amity University Noida, India","Amity University, Noida, Noida-Greater Noida Expressway, Gautam Buddha Nagar District, Dadri - 201313, Uttar Pradesh, India"
"Amity School of Eng. & Tech Noida Uttar Pradesh, India","Noida, Gautam Buddha Nagar, India"
"Lanzhou University of Technology, Lanzhou, China","730050 China, Gansu, West Lake District, 兰工坪北街社区, Langongping Road, Lanzhou University of Technology"
"Telkom University Bandung, Indonesia","Telkom University, Jalan Sukabirus 1, Citeureup 40257, West Java, Indonesia"
"Universitas Indonesia Depok, Indonesia","Universitas Indonesia, Jalan Prof. Dr. Sudjono D. Pusponegoro, Kukusan 16424, West Java, Indonesia"
"Universitas Indonesia Jakarta, Indonesia","Universitas Indonesia, Jalan Inspeksi, Senen, Special Region of Jakarta 10330, Indonesia"
"Delhi Technological University New Delhi, India","New Delhi, India"
"Manav Rachna University Haryana, India","Haryāna, India"
"Manav Rachna University Faridabad, India","E Block, Manav Rachna International University, Surajkund Road, Greenfield, Faridabad - 121004, Haryana, India"
"Amity Universiy Noida, India","Noida, Gautam Buddha Nagar, India"
"Department of Computer Science & Technology, Manav Rachna University, Faridabad","Farīdābād, Faridabad District, India"
"JIIT Noida, India","A-10, Ghaziabad District, Ghaziabad - 201309, Uttar Pradesh, India"
"University of Messina, Messina, Italy","Messina, Italy"
"On Behalf of INDAM, GNCS (Gruppo Nazionale per il Calcolo Scientifico)","On Behalf of INDAM, GNCS (Gruppo Nazionale per il Calcolo Scientifico)"
"Physical Sciences and Earth Sciences University of Messina, Italy","Messina, Italy"
"University of Messina Messina, Italy","Messina, Italy"
"University of Karlstad Karlstad, Sweden","Karlstad, Karlstads Kommun, Sweden"
"V.le F Stagno D'Alcontres n 31 Messina, Italy","Messina, Italy"
"Xinyu Jiangxi, China","338000 China, Jiangxi"
"Institute of Scientific and Technical Information of China, Beijing, China","Beijing, Beijing Shi, China"
The MITRE Corporation,"Bedford, Massachusetts, United States of America"
"Information Science Dept., Kuwait University, Kuwait","Kuwait City, Al Asimah, Kuwait"
"Havelsan A.Ş., İstanbul, Türkiye","Istanbul, Turkey"
"Founder and Researcher, EvoXLabs","Founder and Researcher, EvoXLabs"
"Saint Joseph's University Philadelphia, PA","Saint Joseph's University, Rexford Street, Philadelphia, PA 19131, United States of America"
"KDNERI KEPCO KDN, Jeollanamdo, Korea",South Korea
"Anhui Xinhua University Hefei, China","230088 China, Anhui, Shushan District, Hefei High-Tech Industrial Development Zone, Hehuan Road, Anhui Xinhua University"
"Hunan University of Technology and Business Changsha, China","China, Hunan, Wangcheng, Dazehu, G0401, Hunan University Of Technology and Business"
"Universiti Sains Malaysia Pulau Pinang, Malaysia","University of Science, Malaysia, Jalan Sungai Dua, Sungai Dua, 11700 George Town, Malaysia"
"Universiti Sains Malaysia USM, Penang, Malaysia","University of Science, Malaysia, Jalan Sungai Dua, Sungai Dua, 11700 George Town, Malaysia"
"Universiti Sains Malaysia Penang, Malaysia","University of Science, Malaysia, Jalan Sungai Dua, Sungai Dua, 11700 George Town, Malaysia"
"Data Intelligence Research Group, St. Pölten University of Applied Sciences, Austria",Austria
"Simplity AT GmbH, Vienna, Austria","Vienna, Austria"
"Uttaranchal University Dehradun, India","Uttaranchal University, Nanda Ki Chowki to UPES, Dehradun District, Kolhūpāni - 248007, Uttarakhand, India"
"Uttaranchal Institute of Technology Uttaranchal University, Dehradun, India","Dehradun, India"
"Uttaranchal University Dohradun, India",India
"Division of Research and Innovation Uttaranchal University, Dehradun, India","Dehradun, India"
"Dehradun Uttarakhand, India","Dehradun, India"
"Department of CSE, Graphic Era Hill University, Dehradun","Dehradun, India"
"Zhejiang Province Agriculture Rural Big Data Center Hangzhou, China","Hangzhou, Zhejiang Sheng, China"
"Zhejiang Province Geological Big Data Application Center The First Geological Brigade of Zhejiang Province, Hangzhou, China","Zhejiang Province Geological Big Data Application Center The First Geological Brigade of Zhejiang Province, Hangzhou, China"
"Bengaluru Karnataka, India","Bengaluru, Bangalore North, India"
"Bangalore Karnataka, IN","Bengaluru, Bangalore North, India"
"Jiangsu Norma University Xuzhou, China","Xuzhou, Jiangsu Sheng, China"
"Nanjing University of Aeronautics and Astronautics Nanjing, China","210018 China, Jiangsu, Qinhuai District, Ruijinlu, 御道街, Nanjing University of Aeronautics and Astronautics (Minggugong Campus)"
"Kyung Hee University Yongin, South Korea","South Korea, Gyeonggi, Yongin-si, Hagal-dong, Deogyeong-daero 1732, Kyung Hee University Global Campus, 17104"
"PES University Bengaluru, India","PES University, Outer Ring Road, Hosakerehalli, Bengaluru - 560085, Karnataka, India"
"Cloud Computing Innovation Council of India, Bangalore, India","Bangalore, Bangalore Urban, India"
"Peking University, Beijing, China","100871 China, Beijing, Haidian District, 颐和园路 5号, Peking University"
"University of Malaya, Anhui, China","Anhui Sheng, China"
"Prairie View A&M University Prairie View, TX, USA","Prairie View A&M University, 700 University Drive, Prairie View, Waller County, TX 77446, United States of America"
"Prairie View A&M University Prairie View, Texas","Prairie View A&M University, 700 University Drive, Prairie View, Waller County, TX 77446, United States of America"
"Ltd Chengdu, China","High-Tech Zone, Pidu District, High-Tech Zone (West), China"
"Tsinghua University Beijing, China","100084 China, Beijing, Haidian District, 清华园, Shuangqing Road 30, Tsinghua University"
"Rocket Force University of Engineering, Xi'an, China","Xi'an, Shaanxi, China"
"Rocket Force Engineering University Xi'an, China","Xi'an, Shaanxi, China"
Guangzhou Yudlai International School,"Stroppare, Padua, Italy"
"College of Business and Economics, California State University-Los Angeles","Los Angeles, California, United States of America"
"Sun Yat-sen University Zhuhai, China","519000 China, Guangdong Province, Xiangzhou District, 大学路 2, Zhuhai Campus of Sun Yat-sen University"
"Department of Computer Science and Engineering, The Chinese University of Hong Kong, China","Department of Computer Science and Engineering, The Chinese University of Hong Kong, China"
"The Chinese University of Hong Kong (CUHK Shenzhen), Shenzhen, China","518172 China, Guangdong Province, Longgang District, Longcheng Sub-district, Longxiang Boulevard 2001号, The Chinese University of Hong Kong, Shenzhen"
"The Chinese University of Hong Kong Hong Kong, China","China, Hong Kong, Tai Po District, Pak Shek Kok, Pok Yin Road, The Chinese University of Hong Kong"
"Wuhan >Hubei, China","Wuhan, Hubei, China"
"Wuhan Hubei, China","Wuhan, Hubei, China"
"School of Business Administration Zhongnan University of Economics and Law, Wuhan, China","Wuhan, Hubei, China"
"Georgia State University Atlanta, GA, USA","Georgia State University, 33 Gilmer Street Southeast, Atlanta, GA 30303, United States of America"
"Georgia State University Atlanta, Georgia, USA","Georgia State University, 33 Gilmer Street Southeast, Atlanta, GA 30303, United States of America"
"Qingzhou Shandong, China","Qingzhou City, Shandong, China"
"Weifang Engineering Vocational College, 262500, China",China
"University of Málaga Málaga, Spain","University Regional Hospital of Málaga, Avenida Carlos de Haya, 29010 Málaga, Spain"
"City University of Macau Macao, China","999078 China, Macau, Taipa, 北安灣 Baía do Pac On, 徐日昇寅公馬路 Avenida Padre Tomás Pereira, City University of Macau"
"Hezhou University, Hezhou, Guangxi","Hezhou, Guangxi Zhuangzu Zizhiqu, China"
"Zhuhai Institute of Advanced Technology Chinese Academy of Sciences, Zhuhai, Guangdong","Zhuhai, Guangdong, China"
"Engineering Management, Royal Holloway University of London, United Kingdom","London, United Kingdom"
"Faculty of Engineering and Science University of Greenwich, Chatham Maritime, Chatham, Kent, United Kingdom","Chatham, Kent, United Kingdom"
"University of Greenwich London, UK","University of Greenwich, Park Row, Greenwich Town Centre, London, SE10 9LS, United Kingdom"
"Shandong Jiaotong University Weihai, Shandong, China","Weihai, Shandong Sheng, China"
"Nitte Meenakshi Institute of Technology, Yelahanka Bengaluru, India","Nitte Meenakshi Institute of Technology, NITTE Meenakshi College Road, Gantiganahalli, Gantiganahalli - 562157, Karnataka, India"
"Quaid-i-Azam University Islamabad, Pakistan","Islamabad, Islāmābād Capital Territory, Pakistan"
"Czestochowa University of Technology Czestochowa, Poland","Czestochowa University of Technology, Jana Kilińskiego, 42-218 Częstochowa, Poland"
"Big Data Lab, Santa Clara, CA USA","W Date Ave, Porterville, CA, United States of America"
"Hitachi America Santa Clara, CA, USA","Hitachi Metals America, 1920 Zanker Road, San Jose, CA 95102, United States of America"
Big Data Lab,Big Data Lab
"Institute for Pharmaceutical Outcomes and Policy University of Kentucky Lexington, KY, USA","Greensburg, Kentucky, United States of America"
"University of Kentucky Lexington, Kentucky","University of Kentucky, 101 Audubon Avenue, Lexington, KY 40506, United States of America"
"Nanjing Jiangsu, China","Nanjing City, Jiangsu, China"
"Army Logistics Academy Chongqing, China","Chongqing Shi, China"
"Army Logistics Academy of PLA Chongqing, China","Chongqing Shi, China"
"ShangHai Urban Construction Vocational College, ShangHai, China","Shanghai, Shanghai Shi, China"
"ShanDong Xiehe University, Jinan City, Shandong Province","ShanDong Xiehe University, Jinan City, Shandong Province"
"Shandong Xiehe University, Jinan, P.R. China","250100 China, Shandong, Licheng District, Dongqu, S102, Shandong Xiehe University"
"Middle East College Muscat, Sultanate of Oman","Middle East college, Muscat Expressway, 124, Rusayl, Oman"
"Middle East College, Knowledge Oasis Muscat, Sultanate of Oman","Muscat, Muḩāfaz̧at Masqaţ, Oman"
"Heilongjiang University, Harbin, China","150000 China, Heilongjiang, Harbin, Haxi, 学府路 74号, Heilongjiang University"
"LiuZhou City Vocational College GuangXi, LiuZhou","Liuzhou, Guangxi Zhuangzu Zizhiqu, China"
"Huabei Oilfield Company PetroChina,Renqiu,China","Renqiu, Hebei, China"
"Electric Power Research Institute of State Grid Liaoning Electric Power Co. Ltd Shen yang, China",Colombia
"State Grid of China Technology Colleague State Grid Corporation of China, Jinan, China","Jinan, Shandong Sheng, China"
"State Grid of China Technology College Jinan, China","Jinan, Shandong Sheng, China"
"State Key Laboratory of Advanced Electromagnetic Technology Hubei Electric Power Security and High Efficiency Key Laboratory, Huazhong University of Science and Technology, Wuhan, China","State Key Laboratory of Advanced Electromagnetic Technology Hubei Electric Power Security and High Efficiency Key Laboratory, Huazhong University of Science and Technology, Wuhan, China"
